id, Train loss, Train accuracy, Val loss, Val accuracy
1, 0.15226489138135155, 0.9486595174262735, 0.07489941875464243, 0.9737265415549599
2, 0.0456310126156619, 0.9834450402144773, 0.07761902102163762, 0.9806970509383379
3, 0.031596916578406645, 0.9867962466487936, 0.09760617625285634, 0.979088471849866
4, 0.026808589044297823, 0.9880697050938338, 0.13534392727246103, 0.9747989276139412
5, 0.024118705419379015, 0.9885388739946381, 0.12905614293405462, 0.9764075067024129
6, 0.02485311183163903, 0.9884048257372655, 0.11627514583479308, 0.9785522788203754
7, 0.02266470261119873, 0.9884048257372655, 0.13242895596398832, 0.9774798927613942
8, 0.022219944533446962, 0.9884718498659518, 0.12050115729610679, 0.979088471849866
9, 0.021538315704664225, 0.9886729222520109, 0.1204292140576372, 0.979088471849866
10, 0.021363896422369473, 0.9888069705093835, 0.1241888301049849, 0.979088471849866